SLES_509.03;MegaRace 3 - Nanotech Disaster
SLES_509.14;International Cue Club
SLES_509.21;Way of the Samurai
SLES_509.39;USA Racer
SLES_509.47;Britneys Dance Beat
SLES_509.54;Tokyo Road Race
SLES_509.58;Warhammer 40,000 - Firewarrior
SLES_509.64;Antz Extreme Racing
SLES_509.74;Zapper - One Wicked Cricket!
SLES_509.86;Twin Caliber
SLES_509.95;Fireblade
SLES_509.98;Xtreme Express - World Grand Prix
SLES_509.99;UFC Throwdown
SLES_510.09;Autobahn Raser IV
SLES_510.17;Scooby-Doo! and The Night of 100 Frights
SLES_510.23;LMA Manager 2003
SLES_510.25;BDFL Manager 2003
SLES_510.38;MX Superfly featuring Ricky Carmichael
SLES_510.45;Legends of Wrestling II
SLES_510.55;Go Go Golf
SLES_510.56;Fighting Fury
SLES_510.57;Hard Hitter 2
SLES_510.60;Butt Ugly Martians
SLES_510.64;Gladius
SLES_510.69;RTX - Red Rock
SLES_510.69;RTX - Red Rock
SLES_510.69;RTX - Red Rock
SLES_510.81;Club Football - Juventus 2003-2004 Season
SLES_510.89;Club Football - Arsenal
SLES_510.93;Largo Winch - Empire Under Threat
SLES_511.09;Hitman 2 - Silent Assassin
SLES_511.14;Pro Evolution Soccer 2
SLES_511.18;Wizardry - Tales of the Forsaken Land
SLES_511.26;Whirl Tour
SLES_511.57;Silent Scope 3
SLES_511.60;Sub Rebellion
SLES_511.68;AFL Live 2004 - Aussie Rules Football
SLES_511.80;Tom Clancys The Sum of All Fears
SLES_511.89;MTVs Celebrity Deathmatch
SLES_512.00;Kelly Slaters Pro Surfer
SLES_512.01;Kelly Slaters Pro Surfer
SLES_512.02;Wreckless - The Yakuza Missions
SLES_512.08;Rocky
SLES_512.09;Haven - Call of the King
SLES_512.23;Runabout 3 - Neo Age
SLES_512.33;DragonBall Z - Budokai
SLES_512.49;Castleween
SLES_512.52;Lord of the Rings, The - The Two Towers
SLES_512.53;Lord of the Rings, The - The Two Towers [Seigneur des Anneaux - Les Deux Tours]
SLES_512.83;WWE Smackdown! 4 - Shut Your Mouth
SLES_512.85;Spongebob Squarepants - Revenge of the Flying Dutchman
SLES_512.86;X-Men 2 - Wolverines Revenge
SLES_512.90;Sword of the Samurai
SLES_513.15;Great Escape, The
SLES_513.43;Galerians - Ash
SLES_513.45;Run Like Hell
SLES_513.49;Evolution Skateboarding
SLES_513.54;Jurassic Park - Operation Genesis
SLES_513.55;Big Mutha Truckers
SLES_513.62;Simpsons Skateboarding
SLES_513.72;Wallace & Gromit in Project Zoo
SLES_513.81;Everblue 2
SLES_513.87;World Racing
SLES_514.02;Tenchu - Wrath of Heaven
SLES_514.33;Ghost Vibration
SLES_514.35;International Superstar Soccer 3
SLES_514.41;Dynasty Warriors 3 - Extreme Legends
SLES_514.43;Dynasty Warriors 3 - Xtreme Legends
SLES_514.49;Return to Castle Wolfenstein - Operation Resurrection
SLES_514.56;LMA Manager 2004
SLES_514.58;BDFL Manager 2004
SLES_514.79;Def Jam Vendetta
SLES_514.95;SX Superstar
SLES_515.03;Ace Lightning
SLES_515.08;Hulk, The
SLES_515.23;Conflict - Desert Storm II
SLES_515.84;F1 Career Challenge
SLES_516.00;WWE Crush Hour
SLES_516.02;All-Stars Baseball 2004
SLES_516.03;Seek & Destroy
SLES_516.06;Unlimited Saga
SLES_516.17;Starsky & Hutch
SLES_516.21;Dirt Track Devils
SLES_516.23;Sniper 2, The
SLES_516.24;Eternal Quest
SLES_516.62;Dynasty Warriors 4
SLES_516.71;Alter Echo
SLES_516.82;Headhunter - Redemption
SLES_517.12;Snowboard Racer 2
SLES_517.13;Bust-A-Bloc
SLES_517.15;Seed, The - War Zone
SLES_517.17;Boxing Champions
SLES_517.18;League Series Baseball 2
SLES_517.23;Hobbit, The
SLES_517.35;Perfect Ace - Pro Tournament Tennis
SLES_517.50;Charlies Angels
SLES_517.55;Disney-Pixars Finding Nemo
SLES_517.56;Batman 2 - The Rise of Sin Tsu
SLES_517.58;Metal Arms - Glitch in the System
SLES_517.66;Gladiator - Sword of Vengeance
SLES_517.78;Summer Heat Beach Volleyball
SLES_517.92;Aliens vs Predator - Extinction
SLES_518.12;Homerun
SLES_518.13;European Tennis Pro
SLES_518.14;ATV Off-Road Fury 2
SLES_518.16;Final Fantasy X-2
SLES_518.16;Final Fantasy X-2
SLES_518.20;Sniper Elite
SLES_518.21;Alias
SLES_518.25;Pop Idol
SLES_518.26;AFL Live 2004
SLES_518.38;Asterix & Obelix XXL2
SLES_518.39;DragonBall Z - Budokai 2
SLES_518.40;NHL Hitz Pro
SLES_518.43;Worms 3D
SLES_518.44;Time Crisis 3
SLES_518.45;Barbie - Horse Adventure
SLES_518.50;Basketball Xciting
SLES_518.55;Tank Elite
SLES_518.59;Billiards Xciting
SLES_518.61;Bowling Xciting
SLES_518.62;Bass Master Fishing
SLES_518.73;Medal of Honor - Rising Sun
SLES_518.79;Hot Wheels World Race
SLES_518.96;Gallop Racer
SLES_519.03;AFL Live 2004 - Aussie Rules Football
SLES_519.08;Van Helsing
SLES_519.12;Pro Evolution Soccer 3
